Interest_Rate,Delay_from_due_date,Payment_of_Min_Amount,Outstanding_Debt,Num_Credit_Inquiries,Num_of_Delayed_Payment,Num_of_Loan,Credit_Utilization_Ratio, Num_Bank_Accounts,Num_Credit_Card,Credit_Mix,Credit_History_Age,Credit_Score
1,5,No,0.77,4,1,0,26.55371692,4,5,Standard,14.16666667,Standard
6,24,Yes,0.95,4,12,4,29.33187517,8,7,Good,25,Standard
6,24,Yes,0.95,4,14,4,34.23373755,8,10,Standard,0,Standard
6,24,Yes,0.95,4,12,4,33.77755778,8,6,Bad,13.33333333,Standard
6,24,Yes,0.95,5,14,4,37.45360641,8,6,Bad,3.166666667,Standard
6,24,Yes,0.95,5,14,4,24.67874094,8,4,Standard,6.333333333,Standard
6,24,NM,0.95,16,16,4,34.18827409,8,3,Standard,33.16666667,Standard
6,24,Yes,0.95,5,14,4,21.94129847,8,5,Standard,7.166666667,Standard
2,12,No,0.95,4,9,4,30.38649836,1,4,Good,17,Standard
2,7,No,0.95,6,8,4,26.72746379,1,6,Standard,29.91666667,Standard
2,4,No,0.95,6,9,4,24.24855455,1,7,Standard,30.41666667,Standard
2,7,No,0.95,6,9,4,25.82766005,1,3,Good,23.75,Standard
2,7,No,0.95,6,9,4,30.4080984,1,4,Standard,17.5,Standard
2,7,No,0.95,6,7,4,25.60583419,1,1,Good,28.41666667,Standard
2,7,No,0.95,6,0,4,32.84555132,1,7,Standard,13.25,Standard
6,12,No,1.2,4,12,1,28.0470272,1,6,Standard,10.75,Good
6,12,No,1.2,4,12,1,24.5182629,1,7,Standard,0,Good
6,12,No,1.2,4,0,1,32.97530804,1,6,Standard,24.25,Good
6,14,NM,1.2,4,12,1,37.50545695,1,2,Good,17.16666667,Good
6,12,No,1.2,4,14,1,32.64294492,1,3,Standard,32.25,Standard
6,12,No,1.2,6,12,1,34.92478456,1,3,Standard,6.5,Good
6,12,No,1.2,6,12,1,34.65556454,1,7,Standard,21.33333333,Good
6,12,No,1.2,6,11,1,28.3319745,1,7,Good,15.41666667,Good
16,11,No,1.23,1,12,0,36.99068,7,4,Standard,26,Standard
16,11,No,1.23,1,12,4,27.15139483,7,7,Bad,10.33333333,Standard
16,13,NM,1.23,1,12,4,26.85626093,7,4,Standard,29.66666667,Standard
16,11,No,1.23,1,12,4,23.89306482,7,5,Standard,19.16666667,Standard
16,11,NM,1.23,1,12,4,36.76865691,7,5,Bad,1.25,Standard
16,11,No,1.23,1,14,4,38.79341835,7,4,Standard,32.33333333,Standard
16,11,No,1.23,1,12,4,38.38459835,7,7,Standard,25.66666667,Standard
16,11,No,1.23,1,12,4,32.24314916,7,3,Standard,21.08333333,Standard
12,4,No,1.3,3,9,0,39.13017241,4,5,Bad,5.666666667,Good
12,1,No,1.3,3,8,2,25.68694891,4,5,Standard,17.25,Good
12,7,No,1.3,3,7,2,31.91007942,4,5,Standard,21.16666667,Standard
12,5,No,1.3,3,7,2,39.03391111,4,6,Standard,11.08333333,Good
12,3,No,1.3,3,0,2,34.9378645,4,7,Standard,17.16666667,Good
12,4,NM,1.3,3,8,2,27.677569,4,7,Standard,14,Standard
12,4,No,1.3,3,8,2,23.53501959,4,7,Standard,23.33333333,Good
9,19,Yes,1.33,6,9,2,39.21434132,5,9,Bad,0.75,Standard
9,19,Yes,1.33,6,7,2,27.66381089,5,5,Standard,7,Standard
9,19,Yes,1.33,6,9,2,27.83886821,5,3,Standard,23.41666667,Standard
9,19,Yes,1.33,6,9,2,38.71817681,5,4,Good,21.75,Standard
9,19,NM,1.33,6,9,2,41.67816381,5,9,Good,17.08333333,Standard
9,19,Yes,1.33,6,9,2,33.96378988,5,6,Standard,0,Standard
15,11,Yes,1.37,4,0,1,36.90853316,5,5,Standard,26.33333333,Standard
15,12,Yes,1.37,4,20,1,33.35216196,5,5,Standard,12.33333333,Standard
15,16,Yes,1.37,4,21,1,29.94341913,5,7,Bad,11.16666667,Standard
15,11,Yes,1.37,4,20,1,37.24191726,5,10,Bad,16.66666667,Standard
15,11,NM,1.37,4,0,1,37.17384136,5,6,Standard,26.41666667,Standard
15,6,Yes,1.37,8,20,1,39.90653018,5,4,Standard,6.333333333,Standard
15,27,No,1.42,4,16,0,41.15396711,7,6,Standard,17.16666667,Standard
15,21,NM,1.42,4,19,0,38.91061157,7,6,Good,23.25,Standard
15,22,NM,1.42,4,16,0,25.17940393,7,4,Good,20.5,Standard
15,22,No,1.42,4,16,0,33.79044044,7,7,Good,0,Standard
15,20,No,1.42,4,16,0,29.57272437,7,1,Good,32.91666667,Standard
15,22,NM,1.42,4,16,0,37.59815617,7,5,Standard,29,Standard
15,22,No,1.42,4,16,0,34.9593854,7,7,Good,30.58333333,Standard
15,22,No,1.42,4,16,0,30.33582126,7,4,Good,26.5,Standard
7,8,Yes,1.48,2,19,2,27.34460929,3,7,Standard,6.666666667,Standard
7,6,Yes,1.48,2,19,2,35.59289494,3,5,Bad,6.5,Standard
7,8,Yes,1.48,3,0,2,30.23083209,3,5,Bad,1.666666667,Standard
7,8,NM,1.48,3,21,2,32.82704837,3,7,Bad,2.416666667,Good
7,8,Yes,1.48,3,19,2,41.55425406,10,9,Bad,9.166666667,Good
7,8,Yes,1.48,3,19,2,32.53252916,3,5,Standard,0,Standard
17,25,Yes,2.04,6,19,2,32.98918933,5,7,Standard,16.66666667,Standard
17,25,Yes,2.04,6,16,2,23.56982368,5,5,Standard,32,Standard
17,25,NM,2.04,6,0,2,32.35525066,5,7,Standard,12.41666667,Standard
17,25,Yes,2.04,6,19,2,28.30131875,10,4,Standard,8.666666667,Standard
17,28,Yes,2.04,6,19,2,37.78516173,5,4,Standard,17.75,Standard
17,25,NM,2.04,6,19,2,33.15694724,5,4,Good,32.33333333,Standard
17,25,NM,2.04,6,20,2,42.44386068,5,3,Standard,0,Standard
17,25,Yes,2.04,6,19,2,24.31102978,5,7,Standard,30.83333333,Standard
18,24,No,2.13,2,11,0,42.17706404,8,4,Good,0,Standard
18,24,No,2.13,3,12,0,38.81754539,8,4,Standard,17.41666667,Standard
18,21,No,2.13,3,16,0,40.19552582,8,5,Good,0,Standard
18,24,No,2.13,3,10,0,30.48341333,8,4,Standard,9.333333333,Standard
18,24,No,2.13,3,13,0,32.39260484,8,6,Good,25.16666667,Standard
18,25,No,2.13,3,13,0,32.25283309,8,6,Standard,8.416666667,Standard
18,24,No,2.13,3,15,0,39.26197662,8,5,Standard,0,Standard
18,24,No,2.13,16,13,0,33.47100818,9,5,Standard,0,Standard
7,8,No,2.43,0,3,4,37.7730711,1,7,Standard,32.66666667,Good
7,5,No,2.43,0,3,4,31.83960628,1,5,Standard,30.08333333,Good
7,5,No,2.43,0,3,4,23.47860656,1,6,Standard,13.5,Good
7,5,NM,2.43,1,0,4,35.76745264,1,5,Good,0,Good
7,5,No,2.43,1,3,4,26.49005473,1,8,Bad,10,Good
7,5,NM,2.43,1,3,4,29.6342641,1,4,Standard,25.25,Good
7,5,No,2.43,1,3,4,24.59400288,1,3,Standard,9.666666667,Good
7,5,No,2.43,1,1,0,26.43784336,1,8,Bad,7.416666667,Good
14,27,No,3.31,0,15,2,40.72919527,3,4,Standard,24.33333333,Standard
14,27,No,3.31,0,15,2,27.40920101,10,6,Standard,33,Standard
14,23,No,3.31,0,15,2,35.64209022,3,3,Standard,20.41666667,Standard
14,27,No,3.31,0,18,2,35.31300853,3,6,Standard,29.41666667,Standard
14,28,No,3.31,0,15,2,31.17699796,3,6,Standard,28.66666667,Standard
14,27,No,3.31,0,0,2,41.28753703,3,5,Good,25.91666667,Standard
14,27,No,3.31,2,15,2,29.63326719,3,6,Standard,29.08333333,Standard
1,0,No,3.5,2,12,2,36.87823339,0,3,Good,18,Good
1,5,No,3.5,2,9,2,36.91732206,0,4,Good,22.66666667,Good
1,2,No,3.5,2,11,2,28.21814294,0,3,Standard,22.83333333,Good
1,4,No,3.5,2,9,2,31.03236436,0,4,Standard,17.16666667,Standard
1,4,No,3.5,2,9,2,31.49038254,0,3,Good,18.58333333,Standard
1,4,NM,3.5,2,9,2,35.26350776,0,5,Standard,9.75,Standard
1,1,No,3.5,5,9,2,29.6527904,0,7,Good,24.08333333,Standard
1,3,NM,3.5,5,9,2,42.85110939,0,7,Good,28.58333333,Standard
6,3,No,3.68,4,10,1,27.30849306,4,5,Good,23.41666667,Good
6,3,No,3.68,4,10,1,26.2742765,4,5,Standard,19.91666667,Standard
6,6,No,3.68,4,8,1,36.63895765,4,4,Standard,7.333333333,Good
6,3,No,3.68,4,10,1,36.01409096,4,7,Standard,19.08333333,Good
6,3,No,3.68,4,10,1,38.20316567,4,3,Standard,16.41666667,Good
6,4,No,3.68,5,10,1,27.19592665,4,4,Standard,23.75,Good
6,1,No,3.68,5,10,1,38.0914984,4,4,Standard,21.08333333,Good
6,3,No,3.68,5,10,1,36.56173306,10,8,Bad,7.333333333,Standard
17,10,Yes,3.74,2,11,0,38.30762899,7,7,Standard,9.25,Standard
17,10,Yes,3.74,2,14,0,38.53762742,7,7,Bad,15.33333333,Standard
17,10,Yes,3.74,2,11,0,24.36862683,7,4,Standard,25.91666667,Standard
17,10,Yes,3.74,2,10,0,24.59220272,7,6,Bad,0,Poor
17,10,Yes,3.74,2,11,0,25.22215011,7,3,Standard,15.75,Poor
17,10,Yes,3.74,2,12,0,36.17270564,7,3,Standard,30.66666667,Poor
17,10,Yes,3.74,2,11,0,28.60578081,7,6,Standard,23.58333333,Poor
10,19,Yes,4.5,5,13,3,25.0156046,8,4,Good,27.25,Standard
10,15,Yes,4.5,5,13,0,31.0708048,8,2,Good,33.5,Standard
10,16,Yes,4.5,5,13,3,39.56168205,8,1,Good,15.41666667,Standard
10,15,Yes,4.5,5,10,3,25.32788717,8,3,Good,21.25,Standard
10,15,Yes,4.5,7,13,3,38.08738991,8,7,Standard,20.83333333,Standard
10,15,Yes,4.5,7,13,3,37.64959165,8,6,Good,0,Poor
10,15,Yes,4.5,7,11,3,35.81865686,8,7,Good,27.75,Poor
17,30,Yes,4.61,2,19,3,27.66998879,5,8,Bad,16,Standard
17,30,Yes,4.61,2,0,3,31.82872473,5,9,Bad,6,Standard
17,30,Yes,4.61,2,22,3,38.05238879,5,9,Bad,7,Standard
17,30,NM,4.61,2,19,3,30.51876329,5,5,Bad,5.666666667,Standard
17,30,Yes,4.61,2,17,3,36.05277477,5,7,Bad,0,Standard
17,27,Yes,4.61,2,20,3,36.8511981,5,7,Bad,13.25,Standard
17,30,Yes,4.61,5,19,3,27.03713759,5,6,Standard,20.41666667,Standard
17,30,Yes,4.61,5,17,3,33.83529056,5,10,Bad,11.91666667,Standard
12,3,No,4.64,0,3,0,36.87588634,0,3,Standard,0,Good
12,3,No,4.64,0,1,2,30.70897723,10,9,Bad,3.583333333,Good
12,0,No,4.64,0,1,2,23.37854363,0,8,Standard,14.75,Good
12,3,No,4.64,0,1,2,27.9687059,0,7,Standard,15.41666667,Good
12,6,No,4.64,0,0,2,32.70957671,0,5,Bad,18.33333333,Good
12,0,No,4.64,0,1,2,36.04391652,0,4,Bad,18,Good
12,8,No,4.64,2,1,2,34.82048225,0,4,Standard,24.25,Standard
12,3,No,4.64,16,1,0,35.99152261,0,9,Standard,19.91666667,Good
18,6,Yes,4.82,6,14,4,39.05948865,4,5,Good,20.41666667,Standard
18,5,Yes,4.82,6,14,4,32.65099722,4,6,Standard,6.916666667,Standard
18,5,Yes,4.82,6,14,4,30.97783603,4,6,Good,27.41666667,Standard
18,5,Yes,4.82,6,16,4,30.97991256,4,6,Standard,26.91666667,Standard
18,5,Yes,4.82,6,14,4,32.96493287,4,4,Standard,32,Standard
18,5,NM,4.82,6,14,4,27.19336189,4,3,Good,28.5,Standard
18,6,Yes,4.82,6,13,4,36.35185783,4,7,Good,11.5,Standard
18,5,Yes,4.82,6,14,4,30.90968726,4,6,Standard,0,Standard
10,6,No,5.28,1,10,3,37.66312106,4,6,Good,20.83333333,Standard
10,3,No,5.28,1,10,3,37.62849588,4,5,Good,24,Good
10,8,No,5.28,1,10,3,34.21066331,4,3,Standard,25.41666667,Good
10,6,No,5.28,1,12,0,30.71402,4,5,Good,23.41666667,Good
10,6,No,5.28,6,10,3,36.48591566,4,2,Good,32.08333333,Good
10,9,No,5.28,6,10,0,31.55749456,4,4,Good,0,Good
10,6,No,5.28,6,11,3,31.98769031,4,7,Standard,29.25,Standard
10,6,NM,5.28,6,10,3,32.51711324,4,7,Good,15.5,Standard
5,12,No,5.57,2,0,3,38.01642308,5,6,Standard,5.583333333,Poor
5,12,No,5.57,2,10,3,36.2159869,5,3,Standard,22.08333333,Standard
5,12,No,5.57,2,9,0,36.31564606,5,3,Good,22.83333333,Standard
5,8,No,5.57,2,9,3,29.84187825,5,4,Good,31.16666667,Poor
5,17,No,5.57,2,9,3,29.26203825,5,4,Good,28.66666667,Poor
5,12,No,5.57,2,9,3,29.24671828,5,4,Good,26,Poor
5,12,No,5.57,2,9,3,40.0945146,5,5,Good,0,Poor
5,12,No,5.57,2,9,3,29.39914994,5,4,Standard,24.91666667,Poor
12,5,No,5.67,1,8,2,38.55117513,3,3,Good,25.41666667,Good
12,9,No,5.67,1,10,2,31.76648753,3,3,Good,16,Good
12,2,No,5.67,1,8,2,30.27628984,3,2,Standard,32.5,Good
12,4,No,5.67,3,11,2,31.98097694,3,6,Standard,0,Good
12,5,No,5.67,3,9,2,34.62657989,3,4,Good,31.58333333,Good
12,4,No,5.67,3,12,2,37.52121582,3,5,Good,0,Good
12,4,NM,5.67,3,9,2,27.38215041,3,7,Good,18.25,Good
12,0,NM,5.67,3,7,2,36.11979734,3,3,Good,29.25,Good
4,1,No,5.8,4,1,0,33.49296446,2,2,Good,17.08333333,Good
4,6,NM,5.8,4,1,0,34.81392031,2,7,Standard,17.25,Good
4,11,No,5.8,4,0,0,28.36576719,2,6,Standard,29.5,Good
4,4,No,5.8,4,1,0,24.05226644,2,4,Good,24.66666667,Good
4,6,No,5.8,4,1,0,23.09881886,2,3,Standard,5.5,Standard
4,6,No,5.8,4,0,0,39.78394191,2,5,Standard,0,Standard
4,10,No,5.8,4,3,0,22.99108768,2,2,Good,22.75,Good
4,6,No,5.8,4,1,0,34.73120348,2,4,Standard,31.25,Good
12,1,No,6.41,1,10,1,27.68529919,5,7,Bad,13.08333333,Good
12,1,No,6.41,1,10,1,37.94308263,5,7,Standard,19.41666667,Good
12,0,No,6.41,1,10,1,33.06884736,5,4,Standard,28.41666667,Good
12,1,No,6.41,1,11,1,29.26887232,5,5,Standard,19.41666667,Good
12,3,No,6.41,1,10,1,33.18435872,5,3,Standard,6.416666667,Good
12,3,No,6.41,1,10,1,32.90219354,5,7,Standard,27.41666667,Good
15,26,NM,6.41,2,15,1,26.40730329,4,5,Good,26.41666667,Standard
15,29,Yes,6.41,2,17,1,36.42399603,4,7,Good,19.5,Standard
15,22,Yes,6.41,2,15,1,36.92139355,4,2,Good,30.5,Standard
15,26,NM,6.41,2,12,1,39.95413267,4,4,Standard,8.75,Standard
15,26,Yes,6.41,16,17,1,28.72168345,4,6,Standard,15.91666667,Standard
15,25,Yes,6.41,2,15,1,38.15180134,4,5,Good,32.75,Standard
15,26,Yes,6.41,2,15,1,25.35528975,4,3,Standard,32.91666667,Standard
10,19,No,6.49,0,14,3,26.71092693,4,7,Good,31.91666667,Standard
10,18,No,6.49,0,15,0,25.92983717,4,7,Good,33.16666667,Standard
10,21,No,6.49,0,12,3,31.36421517,4,1,Good,30.16666667,Standard
10,19,No,6.49,0,14,3,36.12429851,4,6,Good,17.75,Poor
10,19,No,6.49,0,14,3,34.96230925,4,3,Good,20,Poor
10,19,NM,6.49,0,14,3,25.40118432,4,6,Good,24.58333333,Poor
10,20,No,6.49,0,14,3,26.25436759,4,3,Good,15.83333333,Poor
10,21,No,6.49,0,15,3,37.05243548,4,4,Good,19.25,Standard
8,11,NM,6.84,2,3,2,35.16992195,3,5,Good,24.83333333,Good
8,11,No,6.84,2,0,2,39.32150708,3,4,Good,20.08333333,Good
8,6,No,6.84,5,0,2,26.04850195,3,3,Good,33.25,Standard
8,11,No,6.84,5,0,2,36.76139253,3,1,Good,28,Good
8,11,No,6.84,5,0,2,27.32975338,3,4,Good,20.66666667,Good
8,11,No,6.84,5,0,2,39.82539519,3,4,Good,15.66666667,Good
8,11,No,6.84,5,0,2,37.01343164,3,4,Good,26.66666667,Good
8,11,No,6.84,5,3,2,34.61061047,3,4,Good,20.5,Good
15,27,No,7.24,4,7,0,37.83360159,4,8,Good,23.16666667,Standard
15,27,No,7.24,4,9,2,27.44034011,4,6,Standard,24.75,Standard
15,27,No,7.24,4,9,2,32.88675073,4,5,Good,0,Standard
15,27,No,7.24,4,0,2,24.63006534,4,7,Standard,0,Standard
15,27,No,7.24,0,8,2,39.90390975,4,6,Good,21.5,Standard
15,24,NM,7.24,4,9,2,36.88077843,4,6,Standard,8.333333333,Standard
15,27,No,7.24,4,9,2,35.92430922,4,3,Standard,9.5,Standard
9,3,No,7.44,3,7,3,29.89261289,4,5,Bad,12.08333333,Standard
9,3,NM,7.44,3,7,3,37.03198904,4,8,Bad,20,Standard
9,7,No,7.44,3,5,3,25.66945492,4,5,Bad,0,Good
9,3,No,7.44,3,7,3,34.66361644,4,9,Bad,5.666666667,Standard
9,1,No,7.44,8,7,3,30.77654291,4,5,Standard,7.833333333,Standard
6,14,No,7.51,0,15,4,27.40145833,7,5,Bad,5.25,Standard
6,20,No,7.51,0,18,4,40.41594868,7,7,Standard,0,Standard
6,19,No,7.51,0,16,4,24.83634309,7,7,Bad,11.08333333,Standard
6,21,No,7.51,0,18,4,24.00158517,7,7,Bad,4.416666667,Standard
6,19,No,7.51,0,18,4,27.40327912,7,4,Standard,14.33333333,Standard
6,19,No,7.51,0,18,4,30.52774289,7,5,Standard,12.25,Standard
6,19,No,7.51,0,20,4,40.62018933,7,9,Bad,6.333333333,Standard
11,9,No,7.54,0,10,0,33.63277736,5,3,Standard,11.75,Standard
11,4,NM,7.54,0,10,0,30.96636367,5,6,Standard,17.25,Standard
11,9,No,7.54,0,10,0,27.01814357,5,9,Bad,4.75,Standard
11,9,No,7.54,0,12,0,29.2023264,5,3,Standard,25.66666667,Good
11,5,No,7.54,2,10,0,37.51400353,5,7,Standard,9.75,Good
11,12,No,7.54,2,7,0,26.73380597,5,3,Standard,17.75,Good
11,7,No,7.54,2,10,0,30.57907118,5,3,Good,0,Good
11,9,No,7.54,2,0,0,40.20412382,5,5,Standard,19.58333333,Good
16,7,Yes,7.64,6,10,3,37.77732288,8,7,Standard,28.58333333,Standard
16,3,Yes,7.64,6,7,3,32.12064945,8,7,Bad,0,Standard
16,7,Yes,7.64,7,10,3,24.20379998,8,7,Standard,16.16666667,Standard
16,7,Yes,7.64,7,0,3,27.84725965,8,9,Bad,16.08333333,Standard
16,7,Yes,7.64,7,8,3,26.10872395,8,7,Standard,24.91666667,Poor
16,3,Yes,7.64,7,10,3,33.93780023,8,9,Bad,10.25,Standard
16,7,NM,7.64,7,9,3,39.24770724,8,6,Standard,21.5,Poor
8,26,Yes,7.87,1,15,0,23.51660848,8,9,Bad,0,Standard
8,26,Yes,7.87,1,12,0,25.16078015,8,6,Standard,17.16666667,Standard
8,26,Yes,7.87,1,18,0,30.53048431,8,6,Standard,9.75,Standard
8,26,Yes,7.87,1,13,0,36.00599746,8,3,Standard,31.41666667,Standard
8,30,Yes,7.87,1,15,0,31.31883533,8,7,Good,31.91666667,Standard
8,26,NM,7.87,1,15,0,32.70193586,8,9,Standard,18.58333333,Standard
8,26,Yes,7.87,1,15,0,30.94582709,8,3,Standard,5.25,Poor
8,22,Yes,7.87,1,13,0,37.1903114,8,7,Standard,6.166666667,Poor
5,19,NM,8.07,4,0,4,36.53326499,1,7,Good,22.16666667,Poor
5,19,No,8.07,16,0,4,28.21821626,1,4,Good,31.66666667,Poor
5,19,No,8.07,4,1,4,36.88672299,1,5,Good,30.41666667,Poor
5,16,No,8.07,4,5,9,43.68962161,1,7,Good,16.66666667,Poor
5,19,No,8.07,4,0,4,41.74746294,1,3,Good,22.91666667,Poor
5,19,No,8.07,4,2,4,34.60813089,1,4,Good,26.33333333,Poor
5,19,NM,8.07,8,2,0,32.39980709,1,4,Good,28.08333333,Standard
19,12,No,8.11,1,9,0,43.84843637,4,7,Bad,19.91666667,Standard
19,12,No,8.11,1,9,0,32.9635186,4,6,Standard,19.16666667,Standard
19,12,No,8.11,1,12,0,25.57332462,4,9,Bad,8.25,Standard
19,12,No,8.11,1,6,0,30.335984,4,4,Standard,19.5,Standard
19,7,No,8.11,1,9,0,30.20254198,4,5,Standard,18.58333333,Standard
19,12,No,8.11,1,9,0,26.94245063,4,6,Standard,24.91666667,Standard
19,12,No,8.11,1,6,0,40.28290585,4,5,Standard,32.08333333,Standard
19,12,No,8.11,1,9,0,36.45869066,4,5,Standard,13.75,Standard
20,25,No,8.2,3,16,2,27.62405244,4,8,Standard,19.08333333,Standard
20,25,NM,8.2,3,15,2,31.42196619,4,8,Standard,5.833333333,Standard
20,25,No,8.2,3,15,2,38.12545044,4,10,Bad,9.666666667,Standard
20,25,No,8.2,3,0,2,29.64443428,4,8,Bad,0,Standard
20,26,No,8.2,3,15,2,29.32081761,4,8,Bad,13.16666667,Poor
20,25,No,8.2,3,15,2,30.24933143,4,8,Bad,3.583333333,Poor
10,5,No,8.99,2,8,0,26.36080225,4,7,Good,24.66666667,Poor
10,5,No,8.99,2,12,0,24.02934292,4,4,Bad,5.583333333,Poor
10,5,No,8.99,2,11,0,25.66362506,4,5,Standard,15.16666667,Poor
10,5,No,8.99,2,13,0,34.89066381,4,3,Good,30.5,Poor
10,5,NM,8.99,2,12,0,28.26383276,4,7,Standard,0,Poor
10,10,No,8.99,2,11,0,37.54267482,4,6,Good,0,Standard
10,5,No,8.99,2,11,0,35.49340604,4,6,Standard,0,Poor
8,10,Yes,9.32,0,10,0,36.33470962,7,5,Good,17.66666667,Standard
8,13,NM,9.32,0,12,0,29.86513761,7,7,Good,22.66666667,Standard
8,10,Yes,9.32,4,12,0,23.99127111,7,5,Good,21.58333333,Standard
8,10,NM,9.32,4,12,0,38.87803865,7,7,Good,22,Standard
8,10,Yes,9.32,4,12,0,24.37535114,7,3,Good,17.25,Standard
8,10,NM,9.32,4,12,0,26.29566958,7,1,Good,0,Standard
8,5,NM,9.32,4,11,0,27.29484963,7,4,Good,28.08333333,Standard
8,15,Yes,9.32,4,12,0,39.56182411,7,4,Good,18.83333333,Standard
12,10,NM,9.35,2,10,1,28.45905328,4,6,Standard,32.16666667,Good
12,10,No,9.35,2,10,0,36.40065052,4,7,Standard,31.41666667,Good
12,7,No,9.35,2,10,1,41.24795857,4,4,Standard,27.83333333,Standard
12,10,No,9.35,2,11,1,39.22877191,4,7,Standard,21.91666667,Good
12,10,No,9.35,2,0,1,34.90672925,4,6,Standard,28.16666667,Good
12,10,No,9.35,2,8,1,33.94948583,4,5,Standard,32.08333333,Standard
5,0,No,9.55,3,11,2,32.10867534,3,6,Standard,33.16666667,Standard
5,0,No,9.55,5,11,2,30.11509793,3,6,Good,31.58333333,Standard
5,2,NM,9.55,5,11,2,38.29084097,3,6,Good,22.58333333,Standard
5,2,No,9.55,5,11,2,28.41355228,3,6,Standard,6.25,Standard
5,2,No,9.55,5,8,2,32.03753395,3,5,Good,28.41666667,Standard
5,2,No,9.55,5,0,2,31.47816267,3,6,Good,16.16666667,Standard
5,2,No,9.55,5,11,2,40.0978098,3,1,Good,27.75,Standard
12,17,No,9.65,16,10,2,39.44723417,6,7,Bad,3,Standard
12,18,No,9.65,3,10,2,26.57881635,6,6,Good,8.833333333,Standard
12,17,NM,9.65,3,10,2,38.16453478,6,6,Standard,7.666666667,Standard
12,17,No,9.65,3,8,2,30.36037117,6,7,Bad,0.833333333,Standard
12,17,No,9.65,3,10,2,33.51903637,6,6,Standard,19.33333333,Standard
12,17,No,9.65,3,0,2,36.81094796,6,5,Bad,2.166666667,Poor
6,21,No,9.7,0,15,1,35.29625718,4,3,Good,17.41666667,Standard
6,16,No,9.7,0,15,1,28.76781771,4,7,Good,31.5,Standard
6,21,No,9.7,0,15,1,33.73408974,4,3,Standard,12,Standard
6,21,No,9.7,0,15,1,32.68559481,4,4,Standard,0,Standard
6,16,No,9.7,0,15,1,33.26281585,4,6,Good,32.16666667,Standard
6,21,No,9.7,0,13,1,36.57868009,4,1,Good,23.75,Standard
6,17,No,9.7,0,15,1,31.35780308,4,7,Standard,15.25,Standard
6,21,NM,9.7,0,15,1,31.0259299,4,4,Standard,25.58333333,Standard
20,22,Yes,10.29,1,8,1,25.8227513,3,4,Standard,18.83333333,Standard
20,25,Yes,10.29,1,0,1,31.75391255,3,7,Good,31.75,Standard
