Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Mortgage Loan,Not Specified,Personal Loan,Debt Consolidation Loan,Credit-Builder Loan,Payday Loan,Home Equity Loan,Auto Loan,Student Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
34.0,129561.96,10827.83,2,3.0,11.0,3.0,,,,,,1.0,2.0,,,23.0,3.0,6.65,0.0,Good,27.94,23.76690076,32,No,220.5877276,641.3383988,LowspentLargevaluepayments,490.8568736,Poor
34.0,129561.96,10827.83,2,3.0,11.0,3.0,,,,,,1.0,2.0,,,26.0,3.0,5.65,0.0,Good,27.94,34.35426854,33,No,220.5877276,842.3775789,LowspentSmallvaluepayments,309.8176935,Poor
34.0,129561.96,10827.83,2,3.0,11.0,3.0,,,,,,1.0,2.0,,,23.0,3.0,6.65,2.0,Good,27.94,34.02347992,33,No,220.5877276,455.6052446,HighspentSmallvaluepayments,666.5900278,Standard
34.0,129561.96,0.0,2,3.0,11.0,3.0,,,,,,1.0,2.0,,,23.0,1.0,6.65,2.0,Good,27.94,28.81226208,33,NM,220.5877276,971.5953162,LowspentMediumvaluepayments,170.5999562,Poor
34.0,129561.96,10827.83,2,3.0,11.0,3.0,,,,,,1.0,2.0,,,23.0,3.0,6.65,2.0,Good,27.94,24.86338703,33,No,220.5877276,439.5192554,HighspentMediumvaluepayments,672.676017,Standard
34.0,129561.96,10827.83,2,3.0,11.0,0.0,,,,,,1.0,2.0,,,23.0,2.0,6.65,2.0,Good,27.94,34.62351475,33,No,220.5877276,99.09851606,HighspentLargevaluepayments,1003.096756,Poor
34.0,129561.96,10827.83,2,3.0,11.0,3.0,,,,,,1.0,2.0,,,23.0,0.0,6.65,2.0,Good,27.94,36.70245214,33,No,220.5877276,1218.824579,LowspentSmallvaluepayments,,Standard
34.0,129561.96,10827.83,2,3.0,11.0,3.0,,,,,,1.0,2.0,,,26.0,1.0,6.65,2.0,Good,27.94,38.38491658,33,No,220.5877276,133.6563478,HighspentLargevaluepayments,968.5389246,Poor
40.0,10585.1,590.0916667,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,25.0,8.0,6.85,5.0,Standard,27.94,24.04414564,12,Yes,29.54163737,18.97006594,HighspentMediumvaluepayments,260.4974634,Standard
40.0,10585.1,590.0916667,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,31.0,10.0,0.0,5.0,Standard,27.94,37.98595704,12,Yes,29.54163737,61.45365543,LowspentSmallvaluepayments,258.0138739,Standard
40.0,10585.1,590.0916667,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,27.0,7.0,8.85,5.0,Standard,27.94,36.18804818,12,Yes,29.54163737,21.11637108,HighspentSmallvaluepayments,268.3511582,Standard
40.0,10585.1,0.0,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,27.0,8.0,8.85,5.0,Standard,27.94,38.86980319,0,Yes,29.54163737,10000.0,LowspentSmallvaluepayments,260.0455971,Poor
40.0,10585.1,590.0916667,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,23.0,11.0,8.85,5.0,Standard,27.94,23.39470043,12,NM,29.54163737,48.27249433,LowspentSmallvaluepayments,271.195035,Standard
40.0,10585.1,590.0916667,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,24.0,8.0,8.85,5.0,Standard,27.94,38.63003206,12,NM,29.54163737,60.08519223,LowspentSmallvaluepayments,259.3823371,Standard
40.0,10585.1,590.0916667,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,27.0,8.0,8.85,5.0,Standard,27.94,28.51496498,12,Yes,29.54163737,31.40826726,LowspentLargevaluepayments,268.059262,Standard
40.0,10585.1,590.0916667,8,4.0,6.0,4.0,,,1.0,,,1.0,,2.0,,27.0,8.0,8.85,5.0,Standard,27.94,31.22515097,13,Yes,29.54163737,31.41140341,LowspentSmallvaluepayments,288.0561259,Standard
21.0,118386.4,0.0,4,6.0,1.0,0.0,,,,,,,,,,8.0,2.0,7.71,4.0,Good,27.94,29.23337214,0,No,0.0,186.4298026,HighspentMediumvaluepayments,1076.223531,Standard
21.0,118386.4,10126.53333,4,6.0,1.0,0.0,,,,,,,,,,7.0,0.0,10.71,4.0,,27.94,37.56425193,25,No,0.0,876.9109122,LowspentSmallvaluepayments,425.7424211,Standard
21.0,118386.4,10126.53333,4,6.0,1.0,0.0,,,,,,,,,,5.0,3.0,15.71,4.0,Good,27.94,32.93568608,25,No,0.0,250.0943809,HighspentLargevaluepayments,1002.558952,Standard
21.0,118386.4,10126.53333,4,6.0,1.0,0.0,,,,,,,,,,5.0,4.0,10.71,4.0,Good,27.94,34.23636553,25,No,0.0,352.053758,LowspentMediumvaluepayments,940.5995753,Poor
21.0,118386.4,10126.53333,4,6.0,1.0,0.0,,,,,,,,,,4.0,5.0,10.71,4.0,,27.94,31.47072461,26,No,0.0,322.3910268,LowspentMediumvaluepayments,970.2623066,Poor
21.0,118386.4,10126.53333,4,6.0,1.0,0.0,,,,,,,,,,2.0,4.0,17.71,4.0,Good,27.94,39.74627256,26,No,0.0,249.2979819,LowspentLargevaluepayments,1033.355351,Poor
21.0,118386.4,10126.53333,4,6.0,1.0,0.0,,,,,,,,,,5.0,3.0,6.71,4.0,Good,27.94,40.22587829,26,No,0.0,0.0,LowspentMediumvaluepayments,280.3876349,Standard
21.0,118386.4,10126.53333,4,6.0,1.0,0.0,,,,,,,,,,5.0,1.0,15.71,4.0,Good,27.94,26.55371692,26,No,0.0,806.5904935,LowspentLargevaluepayments,476.0628398,Standard
30.0,10366.83,568.9025,8,3.0,6.0,4.0,,2.0,,1.0,,,1.0,,,24.0,12.0,7.92,4.0,Standard,27.94,29.33187517,20,Yes,24.41334705,14.99020205,LowspentMediumvaluepayments,297.4867009,Standard
30.0,10366.83,568.9025,8,3.0,6.0,4.0,,2.0,,1.0,,,1.0,,,24.0,14.0,7.92,4.0,Standard,27.94,34.23373755,20,Yes,24.41334705,76.60895587,LowspentSmallvaluepayments,245.8679471,Standard
30.0,10366.83,568.9025,8,3.0,6.0,4.0,,2.0,,1.0,,,1.0,,,24.0,12.0,7.92,4.0,Standard,27.94,33.77755778,20,Yes,24.41334705,46.52115411,LowspentSmallvaluepayments,275.9557488,Standard
30.0,10366.83,568.9025,8,3.0,6.0,4.0,,2.0,,1.0,,,1.0,,,24.0,14.0,7.92,5.0,Standard,27.94,37.45360641,20,Yes,24.41334705,65.79112783,LowspentSmallvaluepayments,256.6857751,Standard
30.0,10366.83,568.9025,8,3.0,6.0,4.0,,2.0,,1.0,,,1.0,,,24.0,14.0,7.92,5.0,Standard,27.94,24.67874094,20,Yes,24.41334705,22.75659736,HighspentMediumvaluepayments,259.7203056,Standard
30.0,10366.83,568.9025,8,3.0,6.0,4.0,,2.0,,1.0,,,1.0,,,24.0,16.0,7.92,16.0,Standard,27.94,34.18827409,20,NM,24.41334705,67.86884002,LowspentSmallvaluepayments,254.6080629,Standard
30.0,10366.83,568.9025,8,3.0,6.0,4.0,,2.0,,1.0,,,1.0,,,24.0,14.0,7.92,5.0,Standard,27.94,22.7523805464,20,Yes,24.41334705,41.7568451,,280.7200578,Standard
41.0,43426.9,3497.908333,1,6.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,12.0,9.0,8.35,4.0,Good,27.94,30.38649836,31,No,98.63146393,72.5067688,HighspentLargevaluepayments,418.6526006,Standard
41.0,43426.9,3497.908333,1,6.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,7.0,8.0,8.35,6.0,Good,27.94,26.72746379,31,No,98.63146393,184.0872132,,327.0721562,Standard
41.0,43426.9,3497.908333,1,6.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,4.0,9.0,4.35,6.0,Good,27.94,24.24855455,31,No,98.63146393,245.5929115,LowspentSmallvaluepayments,295.5664579,Standard
41.0,43426.9,3497.908333,1,6.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,7.0,9.0,8.35,6.0,Good,27.94,25.82766005,31,No,98.63146393,340.7484797,LowspentSmallvaluepayments,200.4108897,Standard
42.0,43426.9,3497.908333,1,6.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,7.0,9.0,9.35,6.0,Good,27.94,30.4080984,32,No,98.63146393,54.70753213,HighspentLargevaluepayments,436.4518373,Standard
42.0,43426.9,0.0,1,6.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,7.0,7.0,13.35,6.0,Good,27.94,25.60583419,32,No,98.63146393,155.2835742,LowspentSmallvaluepayments,385.8757952,Standard
42.0,43426.9,3497.908333,1,6.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,7.0,0.0,8.35,6.0,,27.94,32.84555132,32,No,98.63146393,0.0,HighspentMediumvaluepayments,435.0094296,Standard
28.0,39831.1,3454.258333,1,2.0,6.0,1.0,,,,,,,1.0,,,12.0,12.0,9.08,4.0,,27.94,28.0470272,27,No,25.7980241,0.0,,469.8818642,Good
28.0,39831.1,3454.258333,1,2.0,6.0,1.0,,,,,,,1.0,,,12.0,12.0,13.08,4.0,Good,27.94,24.5182629,27,No,25.7980241,204.8590595,HighspentSmallvaluepayments,374.7687497,Good
28.0,39831.1,3454.258333,1,2.0,6.0,1.0,,,,,,,1.0,,,12.0,0.0,9.08,4.0,Good,27.94,32.97530804,27,No,25.7980241,141.744708,HighspentSmallvaluepayments,437.8831013,Good
29.0,39831.1,3454.258333,1,2.0,6.0,1.0,,,,,,,1.0,,,14.0,12.0,2.08,4.0,Good,27.94,37.50545695,27,NM,25.7980241,87.85909087,HighspentMediumvaluepayments,481.7687184,Good
4124.150000000023,39831.1,3454.258333,1,2.0,6.0,1.0,,,,,,,1.0,,,12.0,14.0,9.08,4.0,Good,27.94,32.64294492,27,No,25.7980241,67.4034177,HighspentMediumvaluepayments,502.2243915,Standard
29.0,39831.1,0.0,1,2.0,6.0,1.0,,,,,,,1.0,,,12.0,12.0,9.08,6.0,Good,27.94,34.92478456,27,No,25.7980241,127.1319496,HighspentMediumvaluepayments,442.4958596,Good
29.0,39831.1,3454.258333,1,2.0,6.0,1.0,,,,,,,1.0,,,12.0,12.0,6.08,6.0,Good,27.94,34.65556454,27,No,25.7980241,41.79691823,HighspentLargevaluepayments,517.830891,Good
29.0,39831.1,0.0,1,2.0,6.0,1.0,,,,,,,1.0,,,12.0,11.0,9.08,6.0,Good,27.94,28.3319745,27,No,25.7980241,0.0,LowspentLargevaluepayments,309.7137078,Good
22.0,25846.78,1909.898333,7,3.0,16.0,0.0,,1.0,1.0,,,1.0,1.0,,,11.0,12.0,11.92,1.0,Standard,27.94,36.99068,23,No,85.27657308,207.1788701,LowspentSmallvaluepayments,188.5343902,Standard
22.0,25846.78,1909.898333,7,3.0,16.0,4.0,,1.0,1.0,,,1.0,1.0,,,11.0,12.0,11.92,1.0,Standard,27.94,27.15139483,24,No,85.27657308,167.0966492,LowspentLargevaluepayments,208.616611,Standard
22.0,25846.78,0.0,7,3.0,16.0,4.0,,1.0,1.0,,,1.0,1.0,,,13.0,12.0,11.92,1.0,,27.94,26.85626093,24,NM,85.27657308,119.0911991,LowspentMediumvaluepayments,266.6220612,Standard
22.0,25846.78,1909.898333,7,3.0,16.0,4.0,,1.0,1.0,,,1.0,1.0,,,11.0,12.0,11.92,1.0,Standard,27.94,23.89306482,24,No,85.27657308,252.2194924,LowspentSmallvaluepayments,143.4937678,Standard
23.0,25846.78,1909.898333,7,3.0,16.0,4.0,,1.0,1.0,,,1.0,1.0,,,11.0,12.0,11.92,1.0,Standard,27.94,36.76865691,24,NM,85.27657308,79.31616657,LowspentMediumvaluepayments,306.3970937,Standard
23.0,25846.78,0.0,7,3.0,16.0,4.0,,1.0,1.0,,,1.0,1.0,,,11.0,14.0,11.92,1.0,,27.94,38.79341835,24,No,85.27657308,92.60046742,LowspentLargevaluepayments,283.1127928,Standard
23.0,25846.78,1909.898333,7,3.0,16.0,4.0,,1.0,1.0,,,1.0,1.0,,,11.0,12.0,11.92,1.0,Standard,27.94,38.38459835,24,No,85.27657308,71.34671405,LowspentSmallvaluepayments,324.3665462,Standard
23.0,25846.78,0.0,7,3.0,16.0,4.0,,1.0,1.0,,,1.0,1.0,,,11.0,12.0,11.92,1.0,Standard,27.94,32.24314916,24,No,85.27657308,33.63162279,HighspentMediumvaluepayments,322.0816375,Standard
51.0,30924.04,2647.003333,4,1.0,12.0,0.0,1.0,,,,,1.0,,,,4.0,9.0,6.2,3.0,Good,27.94,39.13017241,28,No,38.00148869,142.6809242,LowspentSmallvaluepayments,374.0179205,Good
51.0,30924.04,2647.003333,4,1.0,12.0,2.0,1.0,,,,,1.0,,,,1.0,8.0,6.2,3.0,Good,27.94,25.68694891,0,No,38.00148869,10000.0,,445.7105884,Good
51.0,30924.04,2647.003333,4,1.0,12.0,2.0,1.0,,,,,1.0,,,,7.0,7.0,6.2,3.0,Good,27.94,31.91007942,28,No,38.00148869,66.82089194,HighspentLargevaluepayments,399.8779527,Standard
51.0,30924.04,2647.003333,4,1.0,12.0,2.0,1.0,,,,,1.0,,,,5.0,7.0,6.2,3.0,,27.94,39.03391111,28,No,38.00148869,99.08993919,HighspentSmallvaluepayments,387.6089055,Good
51.0,30924.04,2647.003333,4,1.0,12.0,2.0,1.0,,,,,1.0,,,,3.0,0.0,6.2,3.0,,27.94,34.9378645,28,No,38.00148869,223.7288036,LowspentLargevaluepayments,272.9700411,Good
51.0,30924.04,0.0,4,1.0,12.0,2.0,1.0,,,,,1.0,,,,4.0,8.0,6.2,3.0,Good,27.94,27.677569,28,NM,38.00148869,207.5617043,LowspentSmallvaluepayments,309.1371403,Standard
51.0,30924.04,2647.003333,4,1.0,12.0,2.0,1.0,,,,,1.0,,,,4.0,8.0,6.2,3.0,Good,27.94,23.53501959,28,No,38.00148869,215.4231087,LowspentLargevaluepayments,281.2757359,Good
35.0,104045.91,8718.4925,5,7.0,9.0,2.0,1.0,,,,,,,,1.0,19.0,9.0,18.61,6.0,Standard,27.94,39.21434132,19,Yes,93.70923447,184.5269969,,833.6130187,Standard
35.0,104045.91,0.0,5,7.0,9.0,2.0,1.0,,,,,,,,1.0,19.0,7.0,18.61,6.0,Standard,27.94,27.66381089,19,Yes,93.70923447,417.1139697,,621.0260458,Standard
35.0,104045.91,8718.4925,5,7.0,9.0,2.0,1.0,,,,,,,,1.0,19.0,9.0,18.61,6.0,,27.94,27.83886821,19,Yes,93.70923447,192.5088606,HighspentMediumvaluepayments,835.631155,Standard
36.0,104045.91,8718.4925,5,7.0,9.0,2.0,1.0,,,,,,,,1.0,19.0,9.0,18.61,6.0,Standard,27.94,38.71817681,19,Yes,93.70923447,203.1396981,HighspentLargevaluepayments,815.0003175,Standard
36.0,104045.91,8718.4925,5,7.0,9.0,2.0,1.0,,,,,,,,1.0,19.0,9.0,18.61,6.0,Standard,27.94,41.67816381,19,NM,93.70923447,511.2793564,LowspentSmallvaluepayments,556.8606591,Standard
36.0,104045.91,0.0,5,7.0,9.0,2.0,1.0,,,,,,,,1.0,19.0,9.0,18.61,6.0,,27.94,33.96378988,20,Yes,93.70923447,139.8808532,HighspentMediumvaluepayments,888.2591624,Standard
41.0,75776.55,6580.7125,5,4.0,15.0,1.0,,,,1.0,,,,,,11.0,0.0,13.86,4.0,Standard,27.94,36.90853316,25,Yes,60.27778126,144.6640949,HighspentMediumvaluepayments,703.1293738,Standard
41.0,75776.55,6580.7125,5,4.0,15.0,1.0,,,,1.0,,,,,,12.0,20.0,17.86,4.0,Standard,27.94,33.35216196,25,Yes,60.27778126,539.9899118,LowspentLargevaluepayments,327.803557,Standard
41.0,75776.55,6580.7125,5,4.0,15.0,1.0,,,,1.0,,,,,,16.0,21.0,13.86,4.0,Standard,27.94,29.94341913,25,Yes,60.27778126,84.71383555,HighspentLargevaluepayments,753.0796332,Standard
41.0,75776.55,0.0,5,4.0,15.0,1.0,,,,1.0,,,,,,11.0,20.0,13.86,4.0,Standard,27.94,37.24191726,25,Yes,60.27778126,60.14239166,HighspentLargevaluepayments,777.6510771,Standard
42.0,75776.55,6580.7125,5,4.0,15.0,1.0,,,,1.0,,,,,,11.0,0.0,13.86,4.0,Standard,27.94,37.17384136,0,NM,60.27778126,579.0455149,LowspentSmallvaluepayments,308.7479538,Standard
42.0,75776.55,6580.7125,5,4.0,15.0,1.0,,,,1.0,,,,,,6.0,20.0,13.86,8.0,Standard,27.94,39.90653018,25,Yes,60.27778126,10000.0,HighspentMediumvaluepayments,586.4466322,Standard
47.0,18186.22,1761.518333,7,4.0,15.0,0.0,,,,,,,,,,27.0,16.0,5.49,4.0,Standard,27.94,41.15396711,18,No,0.0,19.17232473,HighspentMediumvaluepayments,406.9795086,Standard
47.0,18186.22,0.0,7,4.0,15.0,0.0,,,,,,,,,,21.0,19.0,5.49,4.0,Standard,27.94,38.91061157,18,NM,0.0,124.8080077,LowspentMediumvaluepayments,331.3438257,Standard
47.0,18186.22,1761.518333,7,4.0,15.0,0.0,,,,,,,,,,22.0,16.0,5.49,4.0,,27.94,25.17940393,18,NM,0.0,136.6520068,LowspentSmallvaluepayments,329.4998265,Standard
47.0,18186.22,1761.518333,7,4.0,15.0,0.0,,,,,,,,,,22.0,16.0,5.49,4.0,Standard,27.94,33.79044044,18,No,0.0,88.3899314,HighspentSmallvaluepayments,347.7619019,Standard
47.0,18186.22,1761.518333,7,4.0,15.0,0.0,,,,,,,,,,20.0,16.0,5.49,4.0,Standard,27.94,29.57272437,18,No,0.0,0.0,LowspentSmallvaluepayments,393.4897716,Standard
47.0,18186.22,1761.518333,7,4.0,15.0,0.0,,,,,,,,,,22.0,16.0,5.49,4.0,,27.94,37.59815617,19,NM,0.0,186.9124345,LowspentSmallvaluepayments,279.2393988,Standard
47.0,18186.22,1761.518333,7,4.0,15.0,0.0,,,,,,,,,,22.0,16.0,5.49,4.0,Standard,27.94,34.9593854,0,No,0.0,105.9808358,LowspentMediumvaluepayments,350.1709975,Standard
47.0,18186.22,1761.518333,7,4.0,15.0,0.0,,,,,,,,,,22.0,16.0,5.49,4.0,Standard,27.94,30.33582126,19,No,0.0,44.24651223,HighspentMediumvaluepayments,381.9053211,Standard
20.0,91717.32,7856.11,3,4.0,7.0,2.0,,1.0,,,,1.0,,,,8.0,19.0,4.39,2.0,Standard,27.94,27.34460929,30,Yes,146.9184195,221.4492895,HighspentSmallvaluepayments,677.243291,Standard
20.0,91717.32,7856.11,3,4.0,7.0,2.0,,1.0,,,,1.0,,,,6.0,19.0,4.39,2.0,Standard,27.94,35.59289494,30,Yes,146.9184195,898.205453,LowspentSmallvaluepayments,30.4871275,Standard
20.0,91717.32,0.0,3,4.0,7.0,2.0,,1.0,,,,1.0,,,,8.0,0.0,4.39,3.0,Standard,27.94,30.23083209,30,Yes,425.2504543,220.6124652,LowspentMediumvaluepayments,698.0801153,Standard
20.0,91717.32,7577.777965,3,4.0,7.0,2.0,,1.0,,,,1.0,,,,8.0,21.0,4.39,3.0,Standard,27.94,32.82704837,30,NM,425.2504543,87.15792735,HighspentLargevaluepayments,791.5346532,Good
20.0,91717.32,7577.777965,10,4.0,7.0,2.0,,1.0,,,,1.0,,,,8.0,19.0,4.39,3.0,Standard,27.94,41.55425406,30,Yes,425.2504543,108.1682697,HighspentLargevaluepayments,770.5243108,Good
4124.150000000023,91717.32,7577.777965,3,4.0,7.0,2.0,,1.0,,,,1.0,,,,8.0,19.0,4.39,3.0,Standard,27.94,32.53252916,30,Yes,425.2504543,558.7307134,LowspentMediumvaluepayments,359.9618671,Standard
14.0,46107.16,4048.263333,5,3.0,17.0,2.0,,,,,,2.0,,,,25.0,19.0,10.4,6.0,,27.94,32.98918933,10,Yes,41.90237944,89.88031265,HighspentMediumvaluepayments,523.0436412,Standard
17.0,46107.16,4048.263333,5,3.0,17.0,2.0,,,,,,2.0,,,,25.0,16.0,8.4,6.0,Standard,27.94,23.56982368,10,Yes,41.90237944,258.8482529,HighspentSmallvaluepayments,364.075701,Standard
17.0,46107.16,4048.263333,5,3.0,17.0,2.0,,,,,,2.0,,,,25.0,0.0,8.4,6.0,Standard,27.94,32.35525066,10,NM,41.90237944,10000.0,HighspentLargevaluepayments,543.8007695,Standard
18.0,46107.16,4048.263333,10,3.0,17.0,2.0,,,,,,2.0,,,,25.0,19.0,13.4,6.0,Standard,27.94,28.30131875,10,Yes,41.90237944,51.16673153,HighspentMediumvaluepayments,561.7572224,Standard
18.0,46107.16,0.0,5,3.0,17.0,2.0,,,,,,2.0,,,,28.0,19.0,8.4,6.0,,27.94,37.78516173,10,Yes,41.90237944,102.8821371,HighspentMediumvaluepayments,510.0418167,Standard
18.0,46107.16,4048.263333,5,3.0,17.0,2.0,,,,,,2.0,,,,25.0,19.0,8.4,6.0,Standard,27.94,33.15694724,10,NM,41.90237944,451.3374141,LowspentSmallvaluepayments,201.5865398,Standard
18.0,46107.16,0.0,5,3.0,17.0,2.0,,,,,,2.0,,,,25.0,20.0,8.4,6.0,Standard,27.94,42.44386068,10,NM,41.90237944,104.5385016,HighspentMediumvaluepayments,508.3854523,Standard
18.0,46107.16,4048.263333,5,3.0,17.0,2.0,,,,,,2.0,,,,25.0,19.0,8.4,6.0,Standard,27.94,24.31102978,10,Yes,41.90237944,291.207858,LowspentSmallvaluepayments,361.7160959,Standard
18.0,81094.96,6594.913333,8,3.0,18.0,0.0,,,,,,,,,,24.0,11.0,4.03,2.0,Standard,27.94,42.17706404,26,No,0.0,100.2057349,HighspentLargevaluepayments,799.2855984,Standard
18.0,81094.96,6594.913333,8,3.0,18.0,0.0,,,,,,,,,,24.0,12.0,4.03,3.0,Standard,27.94,38.81754539,27,No,0.0,116.2271726,HighspentLargevaluepayments,783.2641608,Standard
18.0,81094.96,6594.913333,8,3.0,18.0,0.0,,,,,,,,,,21.0,16.0,4.03,3.0,Standard,27.94,40.19552582,27,No,0.0,137.2911514,HighspentLargevaluepayments,762.200182,Standard
18.0,81094.96,6594.913333,8,3.0,18.0,0.0,,,,,,,,,,24.0,10.0,4.03,3.0,Standard,27.94,30.48341333,27,No,0.0,214.0783834,HighspentMediumvaluepayments,695.4129499,Standard
18.0,81094.96,6594.913333,8,3.0,18.0,0.0,,,,,,,,,,24.0,13.0,2.03,3.0,Standard,27.94,32.39260484,27,No,0.0,83.819545,HighspentMediumvaluepayments,825.6717883,Standard
18.0,81094.96,0.0,8,3.0,18.0,0.0,,,,,,,,,,25.0,13.0,4.03,3.0,Standard,27.94,32.25283309,0,No,0.0,132.6056723,HighspentLargevaluepayments,766.885661,Standard
19.0,81094.96,0.0,8,3.0,18.0,0.0,,,,,,,,,,24.0,15.0,4.03,3.0,Standard,27.94,39.26197662,27,No,0.0,60.02748288,HighspentLargevaluepayments,839.4638505,Standard
19.0,81094.96,6594.913333,9,4.0,18.0,0.0,,,,,,,,,,24.0,13.0,4.03,16.0,Standard,27.94,33.47100818,27,No,0.0,168.4232291,HighspentMediumvaluepayments,741.0681043,Standard
14.0,38750.41,2987.200833,1,5.0,7.0,4.0,,,,,1.0,1.0,1.0,,1.0,8.0,3.0,14.39,0.0,Good,27.94,37.7730711,32,No,121.7266406,88.54446091,LowspentMediumvaluepayments,368.4489818,Good
49.0,38750.41,2987.200833,1,5.0,7.0,4.0,,,,,1.0,1.0,1.0,,1.0,5.0,3.0,8.39,0.0,Good,27.94,31.83960628,32,No,121.7266406,10000.0,LowspentSmallvaluepayments,234.4781796,Good
49.0,38750.41,2987.200833,1,5.0,7.0,4.0,,,,,1.0,1.0,1.0,,1.0,5.0,3.0,1.39,0.0,Good,27.94,23.47860656,32,No,121.7266406,59.42305158,HighspentLargevaluepayments,357.5703911,Good
49.0,38750.41,2987.200833,1,5.0,7.0,4.0,,,,,1.0,1.0,1.0,,1.0,5.0,0.0,8.39,1.0,Good,27.94,35.76745264,32,NM,121.7266406,25.28922989,HighspentLargevaluepayments,391.7042128,Good
